,SVM,fSVM,Logistic reg,flog reg,XBGoost,fXGB,LSTM,flstm
NMC.L,0.490125673,0.328915663,0.484739677,0.47028845,0.491921005,0.467191033,0.511669659,0.401472773
RIO.L,0.475763016,0.322384428,0.526032316,0.461362637,0.488330341,0.359250693,0.508078995,0.399330919
AV.L,0.481149013,0.448255888,0.533213645,0.520412759,0.533213645,0.508458238,0.452423698,0.39904773
JD.L,0.552962298,0.415657955,0.558348294,0.485977312,0.545780969,0.478551262,0.597845601,0.397861086
TW.L,0.497307002,0.332134293,0.472172352,0.412885415,0.454219031,0.452933575,0.500897666,0.395038287
RTO.L,0.597845601,0.493307342,0.565529623,0.420011359,0.497307002,0.473264705,0.55475763,0.393821309
SMDS.L,0.441651706,0.423055531,0.488330341,0.4876698,0.484739677,0.440882366,0.497307002,0.392887173
CRDA.L,0.552962298,0.356069364,0.563734291,0.462220633,0.540394973,0.493794553,0.527827648,0.391024015
SN.L,0.615798923,0.389754669,0.522441652,0.486689302,0.549371634,0.48112973,0.614003591,0.389020688
REL.L,0.551166966,0.492765765,0.527827648,0.467121369,0.50448833,0.500934944,0.592459605,0.387897272
ULVR.L,0.477558348,0.363248518,0.477558348,0.452129296,0.454219031,0.409677869,0.466786355,0.386037967
MRW.L,0.542190305,0.351571595,0.536804309,0.45919888,0.500897666,0.376244723,0.466786355,0.382296602
CCL.L,0.500897666,0.424449896,0.55475763,0.513056966,0.513464991,0.491406468,0.461400359,0.380762503
AAL.L,0.511669659,0.33847981,0.509874327,0.413283791,0.511669659,0.33847981,0.486535009,0.379877612
FLTR.L,0.47037702,0.4520002,0.477558348,0.447460192,0.500897666,0.499346887,0.472172352,0.379760931
HL.L,0.531418312,0.375970639,0.547576302,0.436831969,0.549371634,0.39106593,0.509874327,0.378614949
DCC.L,0.482944345,0.430518872,0.508078995,0.451424833,0.493716338,0.463105004,0.475763016,0.377815522
NXT.L,0.533213645,0.354634581,0.473967684,0.452619328,0.527827648,0.345475911,0.50448833,0.373095619
IHG.L,0.481149013,0.442870839,0.454219031,0.374360793,0.506283662,0.483084451,0.517055655,0.371571773
SSE.L,0.527827648,0.526631445,0.610412926,0.576321924,0.475763016,0.47413414,0.561938959,0.370796296
SMT.L,0.565529623,0.361238532,0.502692998,0.423892791,0.542190305,0.504297934,0.565529623,0.361238532
CCH.L,0.506283662,0.506181795,0.563734291,0.504906999,0.421903052,0.402248973,0.552962298,0.359719869
SGE.L,0.52064632,0.373416362,0.52962298,0.496432022,0.547576302,0.404530799,0.55475763,0.356812933
STJ.L,0.493716338,0.330528846,0.490125673,0.466590235,0.452423698,0.452416638,0.491921005,0.353136221
DGE.L,0.47935368,0.474596669,0.542190305,0.464635043,0.517055655,0.495159926,0.536804309,0.349299065
EVR.L,0.490125673,0.346676138,0.493716338,0.374705414,0.481149013,0.385244931,0.50448833,0.341675231
JE.L,0.525531915,0.4786065,0.485106383,0.376712479,0.440425532,0.427357673,0.5,0.340750512
UU.L,0.461400359,0.447289037,0.434470377,0.420659528,0.500897666,0.495983387,0.513464991,0.339264531
PSN.L,0.508078995,0.336904762,0.493716338,0.405076811,0.500897666,0.483226539,0.508078995,0.336904762
MNDI.L,0.506283662,0.393724099,0.482944345,0.390424077,0.464991023,0.401826385,0.475763016,0.336753336
PSON.L,0.477558348,0.469174617,0.473967684,0.465028764,0.499102334,0.486279566,0.502692998,0.334528076
ABF.L,0.511669659,0.371561307,0.499102334,0.487445291,0.526032316,0.521016287,0.500897666,0.333732057
RSA.L,0.482944345,0.331666833,0.488330341,0.488165366,0.49551167,0.411919639,0.484739677,0.332510762
WPP.L,0.513464991,0.506955672,0.472172352,0.471966414,0.513464991,0.417582078,0.452423698,0.330119674
ANTO.L,0.47935368,0.324029126,0.472172352,0.375655768,0.486535009,0.358294931,0.47935368,0.324029126
PRU.L,0.461400359,0.315724816,0.468581688,0.39435171,0.47935368,0.399606007,0.439856373,0.321050164
AUTO.L,0.492063492,0.387792287,0.595238095,0.57865058,0.515873016,0.461613897,0.464285714,0.317073171
BLND.L,0.472172352,0.3505996,0.536804309,0.536802816,0.488330341,0.48011947,0.456014363,0.316010456
BRBY.L,0.526032316,0.52599412,0.427289048,0.395358413,0.52064632,0.5150188,0.475763016,0.313067467
BATS.L,0.466786355,0.399865048,0.475763016,0.419791667,0.517055655,0.516831396,0.450628366,0.310643564
ALL,0.504890589,0.417338108,0.503206865,0.46382482,0.500226905,0.46229876,0.510673197,0.417690707
